Topic,Count,Name,Representation,Representative_Docs,Representative_Docs_Titles
-1,248,-1_family_world_town_young,"['family', 'world', 'town', 'young', 'mysterious', 'love', 'police', 'small', 'friends', 'anthology']","[""When FBI Agent Peter Connelly, recently stationed in Jerusalem, begins investigating the murder of a young American, he realizes that he’s uncovered an ancient international conspiracy that threatens to change the course of human history. Certain that the dangerous prophecy is nearing fruition, Peter must race against the clock to unravel its mystery. From a remote farm in Norway, to an enigmatic compound in New Mexico, to the serpentine tunnels of Jerusalem, he searches for the truth, the revelation of which will shake the world's beliefs to its very core."", ""Hanzawa Naoki works as a loan manager at the Osaka Nishi branch of Tokyo Central Bank. One day, Hanzawa makes a loan contract for 500 million yen with Nishi Osaka Steel Company. Hanzawa didn't want to approve the loan, but he had to due to the branch manager's order. Nishi Osaka Steel Company seems financially stable, but the company actually hides massive amounts of debt through fraudulent accounts. The company is caught. Three months later, Nishi Osaka Steel Company goes bankrupt. The bank's branch manager is Asano. He is an ambitious man and tries to shift the blame to Hanzawa. Hanzawa then attends an inquiry about the loan failure at the bank's headquarters in Tokyo. Hanzawa denies fault and promises to retrieve the 500 million yen loan. He did this because it's the only way for Hanzawa to survive as a banker."", 'Inspired by the 1997 American drama Donnie Brasco, El Dandy tells the story of a law professor who has been hired by the Attorney General, to participate in a program of special operations, where you must infiltrate one of the most notorious drug cartels of Mexico City. Under the false name Daniel ""El Dandy"" Bracho, begins the task of identifying all the members of this clandestine network. However, he quickly finds that his acute ability to police work is only comparable with the exciting sense of danger that experiences living life to the fullest. Along the way, it avails itself of the help of a criminal\'s petty, loyal, even corrupt, called El Chueco, who quickly befriends Bracho and comes dangerously close to discover his true identity. Much deeper Bracho is involved in the mafia, more work tells him to get out, and the professor once incorruptible has to choose between returning to a normal life as a respectable citizen or fully embrace his criminal life.']",
0,43,0_detective_murder_case_police,"['detective', 'murder', 'case', 'police', 'cases', 'detectives', 'killer', 'investigation', 'city', 'murder case']","['Brighton based Detective Superintendent Roy Grace is a hard-working police officer who has given his life to the job, but his career is currently at rock bottom. He’s fixated by the disappearance of his beloved wife, Sandy, and running enquiries into long forgotten cold cases with little prospect of success. Following another reprimand for his unorthodox police methods, Grace is walking a career tightrope and risks being moved from the job he loves most.', 'During a routine search of an old cabin in the remote and wintery back country, Finnish policewoman, Nina Kautsalo, discovers two dead prostitutes, with a third still fighting for her life. The ensuing investigation takes a surprise twist when an extremely rare and deadly virus is discovered in the surviving woman’s bloodwork. When the Finnish Bureau of Investigation takes over the case, German virologist, Thomas Lorenz is called in to assist in identifying and containing the virus.  Set within the endless white expanse of the arctic circle, Nina and Thomas must rely on each other to have any hope of saving the ones they love. But what takes precedence? A deadly virus or an active serial killer?', 'Detectives Tori Lustigman and Nick Manning are assigned a brutal murder case in Bondi, where they begin to uncover mounting evidence to suggest the killing is connected to a spate of unexplained deaths, ""suicides"" and disappearances of gay men throughout the 80s and 90s. Haunted by the disappearance of her teenage brother, Tori\'s fascination with the case soon turns to fixation. When more ritualistic murders occur with the same bizarre signature, Tori and Nick will need to put their relationships, their careers and their lives on the line to finally reveal the truth.']",Grace | Arctic Circle | Deep Water
1,41,1_earth_world_alien_love,"['earth', 'world', 'alien', 'love', 'human', 'mysterious', 'space', 'population', 'galaxy', 'channel']","['A U.S. satellite crash-lands near a small town in Utah, unleashing a deadly plague that kills virtually everyone except two survivors, who may provide clues to immunizing the population. As the military attempts to quarantine the area, a team of highly specialized scientists is assembled to find a cure and stop the spread of the alien pathogen, code-named Andromeda.', ""Seeking the chance to build a better future, a group of courageous pioneers departs Earth for Carpathia, a newly discovered planet in a distant galaxy. Led by President Richard Tate and his core team of Stella, Cass and Fleur, the pioneers settle in the town of Forthaven, creating a society there alongside expeditionaries Mitchell and Jack. Having embraced all the challenges that come with forging a new beginning, the townspeople work hard to preserve what they've built on Carpathia, and even as they long for those left behind, there is optimism about the future. But while they try to learn from mistakes made on Earth, there is no avoiding the human pitfalls of love, greed, lust and loss."", 'When astronomers detect a transmission from another galaxy, it is definitive proof of intelligent extra-terrestrial life. The world’s population waits for further contact with bated breath. They do not have to wait long. Within days, mankind is all but wiped out by a devastating attack; pockets of humanity are left in an eerily deserted world. As aliens hunt and kill those left alive, the survivors ask a burning question – who are these attackers and why are they hell-bent on our destruction?']",The Andromeda Strain | Outcasts | War of the Worlds
2,34,2_love_father_family_daughter,"['love', 'father', 'family', 'daughter', 'relationship', 'meet', 'son', 'diego', 'live', 'different']","[""Paz Roble, a kind, hard-working and honest woman from whom her husband, Fermín, takes her newborn daughter. Fermín has a large debt with some lenders and to pay it he decides to sell his daughter to Mauro Nicoliti. This plagiarism is orchestrated by Geneva, Mauro's adoptive sister. She lost her first-born daughter in childbirth and does everything to replace her dead daughter and keep her husband's fortune. On the other hand, Esteban Villa de Cortés loses his wife and becomes a widower with his three children. Elvira Moncada, Esteban's mother-in-law, holds him responsible for the death of her daughter. After a series of unexpected events, Esteban and Paz meet in the neighborhood where she lives with her family. The chemistry and great understanding that exists between them makes it inevitable that they will fall in love."", 'Mariela Salvatierra is an orphan and was only 11 when her grandfather Manuel died because of Demián Ferrer. Being left on her own, destiny pushed her to leave the country under the care of Leonardo Del Río. 15 years have passed since they left, but now Mariela and Leonardo have returned to face Demián Ferrer. Demián is a fairly powerful and unscrupulous business man who doesn’t even honor his own family. He disregards Santiago, his youngest son, and manipulates and deceives his oldest son, Alonso. This attitude affects Mariela too, since Alonso doesn’t dare to turn his back on his father, which tinges their relationship with love and hatred at once. To make things worse, Renata, a luscious and dishonest girl, moves in to the Ferrer’s home and becomes obsessed with Alonso, doing everything she can to separate him from Mariela and making her come closer to another man who is in love with her.', ""Spanish telenovela based on Johnston McCulley's characters. Don Diego Dela Vega, adopts the secret identity of Zorro. Diego born in the 1790s to a white father, Don Alejandro Dela Vega, and his wife, Native American warrior named Toypurnia. Diego learned his acrobatics and fencing skills in Spain, under a great swordmaster, than he returned to his family's California hacienda. He lives as both a nobleman and a vigilante, fighting imperialist oppression. He is backed by the brotherhood of Zorro, a secret society called the Knights of the Broken Thorn. Zorro falls in love with a beautiful young widow, Esmeralda Sánchez de Moncada. She arrives in California with her sister Mariángel Sánchez de Moncada and her father, Fernando, the newly appointed governor—and villainous dictator—of Los Angeles. The story arc focuses on mysteries concerning Esmeralda's long-lost mother and the man whose atrocities changed Diego's life forever. Their resolution threatens to shake the Spanish Empire.""]",El amor no tiene receta | Lying Heart | Zorro: La espada y la rosa
3,32,3_marriage_love_husband_meets,"['marriage', 'love', 'husband', 'meets', 'affair', 'younger', 'sakura', 'sakura hiraga', 'hiraga', 'fan']","['Lucas falls for a young Arab girl named Jade. She is caught between modern values and her Islamic upbringing. They separate and two decades pass. Then a strange turn of luck brings the pair together. Then Jade meets a clone, who is just like Lucas, but twenty years younger. She must choose between the man she loved and the memory she cherishes.', 'Due to an accident, Sakura Hiraga gave up on her dream. She is now married and her husband runs a hair salon. They live in a luxurious penthouse apartment. Her life seems glamorous and she is envied by everyone. What everyone does not know is that Sakura Hiraga is abused physically and verbally by her husband. She is unable to leave her situation. Sakura Hiraga considers herself a goldfish in a fishbowl. One day, due to a goldfish, she meets a man.', ""A love story between an accomplished career woman and a younger man... He Fan Xing's company is at risk of being acquired, while her relationship with Yuan Song faces societal pressures due to their age difference. The consecutive blows in her work and love life push her to an emotional quagmire, and it is during this time that Ye Lu Ming enters her life. Being older in age, he is mature, stable and knowledgeable. He becomes He Fan Xing's life coach and the source of conflict between the couple. For He Fan Xing, it's not merely a matter of choosing the man that she loves, but considering the contradictions of adopting the traditional mindset on marriage.""]",El Clon | Fishbowl Wives | Find Yourself
4,32,4_medical_artem_surgeon_doctor,"['medical', 'artem', 'surgeon', 'doctor', 'siri', 'hospital', 'rosemary', 'patient', 'hel', 'psychiatrist']","['Hel receives an invitation to visit her estranged twin Siri at an exclusive residential sanatorium set against the idyllic setting of the Italian Alps. Tension soon rises when Hel refuses Siri’s plea for help in taking care of some business by swapping places with her for a few days. Much to her horror, Hel wakes up the next day to find Siri gone. She soon realizes that Siri isn’t coming back, and that the clinic is far from a place of recovery.', 'For most physicians, the Hippocratic oath is sacred. But for one Chicago  doctor, who is indebted to the mafia, saving lives isn’t her only  concern. The Mob Doctor is a fast-paced medical drama focusing on a  young female surgeon caught between two worlds as she juggles her  promising medical career with her family’s debt to Chicago’s Southside  mob.', 'Artem is 35 years old. He’s a psychologist, he uses this provocative methodology successfully until one of his clients commits suicide. The one who Artem tried to heal from a suicidal mood by taking him to the roof and telling him that suicide was the right course of action. Artem is condemned to 8 years of colony, the psycholo- gist’s license is taken away, his wife Dasha (32) leaves him, his friends turn their backs on him. With the help of his best friend, Artem gets out of jail. All he is looking for is justice. He believes in his method and wants to prove that it’s actually working and the blame of the patient’s death is not on him. Each episode is a sep- arate case, Artem is brilliantly solving other people seemingly im- possible problems. But will he be able to save himself?']",Sanctuary | The Mob Doctor | Trigger
5,29,5_eun_friend_self_li,"['eun', 'friend', 'self', 'li', 'soo', 'ha', 'love', 'journey', 'money', 'eun ha']","['Dako is a con woman. She stays at a suite in a luxury hotel and schemes to take money from vicious wealthy people like yakuza bosses and evil businessmen. She works with Boku-chan and Richard. Boku-chan is a sincere and timid young con man. Richard is a veteran con man.  Dako is able to master knowledge from various professions in a short period of time and disguises herself as someone working in that field. Along with Boku-chan and Richard, they carry their plans using fantastic teamwork.', ""Ji-Sook goes through a difficult period, due to her father's private loan. She begins living as Eun-Ha. Eun-Ha is from a wealthy family and looks like Ji-Sook. When Min-Woo was only seven years old, he became the successor of a large corporation which his family ran. Due to his position, he cannot reveal his feelings. Through his family, he meets Eun-Ha. He notices she is different from other wealthy woman that he has met. Min-Woo has feelings for her."", 'On the day Yue Qianling resigned, she coincidentally crossed paths with her secret crush, Gu Xun, who had just joined as the head of the 9th Business Unit. She didn\'t hesitate to return to the company to boldly pursue Gu Xun, but he remained indifferent. He even harshly rejected her confession in front of the entire school. Little did she know, Gu Xun had long fallen for his fearless online friend ""Sticky Dough Twist"". Who would have expected that his online friend turned out to be Yue Qianling herself? Upon discovering the truth, Gu Xun had no choice but to embark on a humorous and heartwarming ""reverse pursuit"" journey.']",The Confidence Man JP | Mask | Everyone Loves Me
6,29,6_vampire_vampires_young_half,"['vampire', 'vampires', 'young', 'half', 'min', 'secret', 'human', 'discover', 'school', 'drug']","['Carol is a 17-year-old teenager, the daughter of a Brazilian dancer and a South Korean, who lives a challenging journey of overcoming, acceptance and self-knowledge after the death of her mother and the abandonment of her father, who decides to return to South Korea. In a conflicting relationship with her ancestry, she denies knowing any topic better than South Korean culture, but her life changes after a unique discovery: her wardrobe is actually a magic portal that connects her room to a group of k-pop of great success at the moment, ACT.', ""Despite a 200-year-old treaty between humans and vampires, both races still don't get along. Amidst the looming tension, Jung Jae Min, a posh yet kindhearted high school student, quickly falls for the mysterious new girl Baek Ma Ri. But can Ma Ri conceal her true vampire identity and give love an honest chance? If these star-crossed lovers can find the courage to make the leap, Jae Min and Ma Ri may just be the key to a final resolution between humans and vampires..."", 'Summer 1980. While the Olympics held in the USSR, strange and horrible things are happening in a run-of-the-mill pioneer camp. It turns out pioneer vampires exist not only in horror stories. Smart beyond his years, independent, sensitive and determined to go all the way for the right reasons, main hero Valerka, arrives at summer camp ‘Thunderbird’ for 3 weeks of carefree recreation. Little brave boy secretly aim to discover the reason behind his brother death. Harmless and eternal journey begins to turn around when he soon discovers that one of his roommates is actually sucking the blood. Now, the independent hero must team up to find out how the vampires ended up in a Soviet summer camp, how to destroy them, and who actually killed his brother. Upon the way, Valerka learn how to trust, meet friends and sacrifice himself to the one he truly fell in love. The cost of everyone`s freedoms turned him into a vampire. Has he turned into a monster forever?']",My Magic Closet | Orange Marmalade | Kitchenblock
7,26,7_spy_1995_ador_citadel,"['spy', '1995', 'ador', 'citadel', 'tensions', 'young', 'mission', 'agent', 'brother', 'martial arts']","['A quarter-life crisis causes a young Chinese-American woman to drop out of college and go on a life-changing journey to an isolated monastery in China. But when she returns to find her hometown overrun with crime and corruption, she uses her martial arts skills and Shaolin values to protect her community and bring criminals to justice…all while searching for the assassin who killed her Shaolin mentor and is now targeting her.', 'Milan, 2030: Diana Cavalieri is a double agent for the secret syndicate Citadel, who infiltrated Manticore, the rival agency that destroyed Citadel eight years ago. Trapped behind enemy lines, Diana has a chance to leave the agency forever, but she has to decide whether to trust a surprising ally: the heir of Manticore Italy, Edo Zani.', ""Ador is a well known and respected CIDG Police Official, with a loving family as his support. Cardo, on the other hand, loves the solitude of the mountains in the province as a SAF Trooper. Their lives take a sudden turn when Ador gets himself entangled in a syndicate by being betrayed by one of his own colleagues, resulting to his death. To conceal this fact, Cardo was ordered to pretend to be Ador and finish the mission what his brother left behind. He will also be force to pretend to his brother's family and friends, and be re-united with his grandmother, whom he despised, for assuming she abandoned him.""]",Kung Fu | Citadel: Diana | Brothers
8,22,8_telenovela_mexican_la_televisa,"['telenovela', 'mexican', 'la', 'televisa', 'mexican telenovela', 'el', 'remake', 'star', 'mexico', 'starring']","['La malquerida is a Mexican telenovela produced by José Alberto Castro for Televisa. It is an adaptation of the play ""La malquerida"", written by Spanish playwright Jacinto Benavente. Victoria Ruffo and Christian Meier will star as the adult protagonist, Ariadne Díaz and Mane de la Parra will star as the young protagonists, while Brandon Peniche will star as the main antagonist.', 'En Nombre Del Amor is a Mexican telenovela produced by Televisa. It is a remake of Cadenas de Amargura. En Nombre Del Amor was produced by Carlos Moreno, and filming began on August 4, 2008. It premiered in the United States July 7, 2009 on Univision and ended its run on March 7, 2010 in a two-hour grand finale on a Sunday.\n\nStarring for Allison Lozz and Sebastián Zurita, as adult stars Victoria Ruffo, Arturo Peniche with Leticia Calderón as the villain protagonist and main villain, co-starring for Laura Flores, Alfredo Adame, Víctor Cámara, and the participation of Altair Jarabo as youth antagonist.', 'Piel de otoño is a Mexican telenovela that was produced by Televisa and broadcast on El Canal de las Estrellas in Mexico from 9 May 2005 through 23 September 2005 in Mexico, and from October 10, 2005, through February 17, 2005, in the United States. Starring Laura Flores and René Strickler as the series\' protagonists, the show tells the story of Lucía Villarreal de Mendoza, a woman who seeks refuge from her husband and children\'s abuses in the friendship of a stranger on the Internet, who signs his messages only as ""wind"".\n\nPiel de otoño is a remake of the 1986 Televisa telenovela Cicatrices del alma. The program aired weekdays at 5 pm for twenty weeks.']",La Malquerida | En nombre del amor | Piel de otoño
9,22,9_school_students_elite_university,"['school', 'students', 'elite', 'university', 'student', 'male students', 'lou', 'cutthroat', 'prestigious', 'girls']","['Children from influential families in politics and businesses attend the Hyakkaou Private Academy. There, the hierarchy of the students are classified by a series of games. Students that win the games are on the ruling side and the students who lose become slaves. One day, a mysterious girl, Yumeko Jabami (Minami Hamabe), is transferred to Hyakkaou Private Academy. She looks pure and pretty, but she is actually a compulsive gambler and seeks out the thrill of taking calculated risks.', '5 male students enrolls at a school that has all female students. The boarding school was formerly an all-girls high school until the new school year. The student council then places the 5 male students in a place known as the prison on charges that they were peeping on the girls in the showers. The 5 male students struggle to escape from the prison. ~~ Based on the manga series with the same name by Hiramoto Akira.', 'A struggling lawyer, Kenji Sakuragi, takes a position at private school Tatsuyama Gakuen to pay off his debts. Kenji decides to try to turn this hopeless school into one of the elite institutions in Japan to help rejuvenate his career. His barometer of success will be to get five of his students admitted to the prestigious Tokyo University the following year. But rather than cramming them with lots of general information, his down-to-earth class concentrates on unknown techniques for passing the entrance examination and how to live a good life in these turbulent times. His refreshing outlook and strategy may just be what is needed to turn around the future prospects of himself and his students and teach the rest of us a thing or two as well!']",Kakegurui | Prison School | Dragon Sakura
10,22,10_drug_difficult_kovalev_soccer,"['drug', 'difficult', 'kovalev', 'soccer', 'gang', 'football', 'anton', 'presidential', 'presidential candidate', 'world']","[""Explore a gang world we've never seen before: gangs that are made up of the very men and women sworn to uphold the law – cops. Only select officers make the cut, but once inside, gang members will do what they must to protect each other from enemies inside and outside their ranks."", 'Three story strands are interwoven into a sophisticated action-packed thriller that covers the length and breadth of South Africa, explosively colliding in Cape Town in a violent conspiracy involving organized crime, smuggled diamonds, state security, Black Rhinos, the CIA and an international terrorist plot.', 'Popular football player Anton Kovalev, after spending two years in prison for a drunken brawl in a cafe, is released. The offense blocked the successful career of Kovalev, who was previously the captain of the Russian national team.  The reputation of a ""downed pilot"" does not allow him to continue his favorite business and get a prestigious job. The head of the center for difficult teenagers, Herman, who once raised Anton, offers him a place in the center to prepare difficult children for the local Olympics.  Out of desperation, Kovalev agrees to the offer, but he does not even imagine how difficult it will be to find a common language with the guys, and what an important place they can take in his life.']",The Oath | Trackers | Difficult Teens
11,18,11_secrets_mother_family_lucia,"['secrets', 'mother', 'family', 'lucia', 'deadly', 'wife', 'dark', 'murdered', 'community', 'accident']","[""A happily married man's life is turned upside down when his wife is killed in a mysterious hit-and-run accident in Tel Aviv.  Grief-stricken and confused, he searches for his wife's killers, who have fled to the U.S.  With the help of an ex-lover, he uncovers disturbing truths about his beloved wife and the secrets she kept from him."", ""When Marta Walraven's mob husband is brutally murdered, she takes on gangsters and the FBI to unveil the truth about his death. As she digs into this dark underworld, she'll test her own strength, relying on her resourcefulness, determination and family ties like never before. To get out of this mob, she needs to beat the bad guys at their own deadly game."", 'Secluded on a remote Greek island, retired assassin Julie has a somewhat thorny reunion with her estranged son, Edward, visiting from England. Armed with questions around new information on his paternity, Edward battles to find the right time to speak to his frustratingly distant mother. But, when the moment finally presents itself, things take a deadly turn as Julie’s dangerous past catches up with her and they are forced to flee the island and go on the run together.']",Hit & Run | Red Widow | The Assassin
12,15,12_british_war_russian_king,"['british', 'war', 'russian', 'king', 'agent', 'escape', 'wwii', 'scott', 'german', 'historical']","['After a defector is murdered, British agent Fielding Scott is assigned to track down a mole in his own ranks in 1961 Berlin. His investigation leads him into a deadly web of crime, betrayal and paranoia. Who can Scott trust in the city of spies?', 'Relive a heroic fight for survival during the Iraq War, when the 1st Cavalry Division from Fort Hood was ferociously ambushed on April 4, 2004, in Sadr City, Baghdad — a day that came to be known in military annals as “Black Sunday.”', 'During World War II, the Germans convert the castle of Colditz into an escape-proof prison where recidivist escapees are imprisoned under one roof. The most accomplished escape artists are gathered there, brave soldiers who view escape not only as a challenge but as a duty, in order to harass and irritate German forces as much as they can.']",Spy City | The Long Road Home | Colditz
13,15,13_convicted_madeline_case_murder,"['convicted', 'madeline', 'case', 'murder', 'prison', 'justice', 'maya', 'miniseries based', 'melissa', 'keith']","['Miniseries based on the true story of Clyde Barrow, a charismatic convicted armed robber who sweeps Bonnie Parker, an impressionable, petite, small-town waitress, off her feet, and the two embark on one one of most infamous bank-robbing sprees in history.', 'During the thrilling social change of the mid-1950s, four remarkable women who previously served secretly during WWII as code-breakers, turn their skills to solving murders overlooked by police. In the process they are plunged into fascinating corners of the city, forge powerful relationships, and rediscover their own powers and potential.', 'Madeline Scott, a fierce and uncompromising lawyer with a hunger for justice, runs an underdog criminal defense firm. There is no one who understands the power of setting an innocent person free more than Madeline. At age 18, she was wrongfully convicted, along with her brother, in a sensational murder case. Madeline defends others as she fights to maintain her innocence and searches for the real killer in her own case.']",Bonnie & Clyde | The Bletchley Circle: San Francisco | Proven Innocent
14,15,14_friends_navigate_friendship_stan,"['friends', 'navigate', 'friendship', 'stan', 'school', 'jennings', 'blog', 'mines', 'complicated reality', 'reality friendship']","['In a contemporary Mexico City, a group of six sophisticated close friends navigate through every life experience imaginable together: love, lies, heartbreak, marriage, divorce, kids, career, job loss, fights, break-ups, and unbreakable friendships.', ""Chyna Parks, an 11 year old musical prodigy, gets into a gifted program called Advanced Natural Talents at the local high school. Along with her fellow elementary school-aged 'ANTs', she must navigate the halls of a new school of older kids who are not particularly fond of grade-skipping newbies."", ""Avery Jennings and Tyler James are step-siblings who are complete opposites. The family faces an even bigger adjustment when their new dog, Stan, can talk and also has a blog, unbeknownst to the family. Stan uses his blog to discuss the happenings in the Jennings-James household. Avery and Tyler later learn of Stan's talking ability and agree to keep it a secret from their parents.""]",De brutas nada | A.N.T. Farm | Dog with a Blog
